Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,In stock?,Stock
simple,WSJ-1011,Mens AC Milan 2025/26 Home Jersey Player Version,1,0,visible,Player Version,"Mens AC Milan 2025/26 Home Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1012,Mens Liverpool 2025/26 Home Jersey Player Version,1,0,visible,Player Version,"Mens Liverpool 2025/26 Home Jersey Player Version — Player Version. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",23,Camisetas > New Season,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1013,Retro RCD Mallorca 2000/01 Home Jersey,1,0,visible,Retro Jersey,"Retro RCD Mallorca 2000/01 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1014,Retro RCD Mallorca 1998/99 Home Jersey,1,0,visible,Retro Jersey,"Retro RCD Mallorca 1998/99 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1015,Retro CA Osasuna 1995/96 Home Jersey,1,0,visible,Retro Jersey,"Retro CA Osasuna 1995/96 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1016,Retro CA Osasuna 1995/96 Away Jersey,1,0,visible,Retro Jersey,"Retro CA Osasuna 1995/96 Away Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1017,Retro CA Osasuna 1983/84 Home Jersey,1,0,visible,Retro Jersey,"Retro CA Osasuna 1983/84 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1018,Retro Real Valladolid 1993/94 Home Jersey,1,0,visible,Retro Jersey,"Retro Real Valladolid 1993/94 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1019,Retro AC Milan 1989/90 Home Jersey,1,0,visible,Retro Jersey,"Retro AC Milan 1989/90 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1020,Retro Real Madrid 2001/02 Home Jersey,1,0,visible,Retro Jersey,"Retro Real Madrid 2001/02 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1021,Retro Netherlands 1988 Home Jersey,1,0,visible,Retro Jersey,"Retro Netherlands 1988 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1022,Retro FC Barcelona 1998/99 Home Jersey,1,0,visible,Retro Jersey,"Retro FC Barcelona 1998/99 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1023,Retro Juventus 1997/98 Home Jersey,1,0,visible,Retro Jersey,"Retro Juventus 1997/98 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
simple,WSJ-1024,Retro Liverpool 1995/96 Home Jersey,1,0,visible,Retro Jersey,"Retro Liverpool 1995/96 Home Jersey — Retro Jersey. Camiseta de fútbol de alta calidad, tejido transpirable. Personalización disponible (nombre y dorsal).",21,Camisetas > Retro Jersey,,Talla,"S, M, L, XL, XXL",1,1,1,100
